1|44|0,3,6,9,12|1
2|45|0,3,6,9,40|1
3|46|0,3,6,37,40|1
4|47|0,3,34,37,40|1
5|48|0,5,11,18,24|0
6|49|0,5,11,24,30|0
7|50|0,5,18,24,37|0
8|51|0,5,24,30,37|0
9|52|0,6,11,24,30|0
10|53|0,6,11,30,36|0
11|54|0,6,13,19,24|0
12|55|0,6,13,19,38|0
13|56|0,6,19,24,30|0
14|57|0,6,19,25,30|0
15|58|0,6,19,25,38|0
16|59|0,6,25,30,36|0
17|60|0,7,13,18,37|0
18|61|0,7,13,32,37|0
19|62|0,13,18,24,37|0
20|63|0,13,19,24,37|0
21|64|0,13,19,32,37|0
22|65|0,13,19,32,38|0
23|66|0,19,24,30,37|0
24|67|0,19,25,32,38|0
25|68|0,31,34,37,40|1
26|69|1,4,7,10,13|1
27|70|1,4,7,10,41|1
28|71|1,4,7,38,41|1
29|72|1,4,35,38,41|1
30|73|1,6,12,19,25|0
31|74|1,6,12,25,31|0
32|75|1,6,19,25,38|0
33|76|1,6,25,31,38|0
34|77|1,7,12,25,31|0
35|78|1,7,12,31,37|0
36|79|1,7,14,20,25|0
37|80|1,7,14,20,39|0
38|81|1,7,20,25,31|0
39|82|1,7,20,26,31|0
40|83|1,7,20,26,39|0
41|84|1,7,26,31,37|0
42|85|1,8,14,19,38|0
43|86|1,8,14,33,38|0
44|87|1,14,19,25,38|0
45|88|1,14,20,25,38|0
46|89|1,14,20,33,38|0
47|90|1,14,20,33,39|0
48|91|1,20,25,31,38|0
49|92|1,20,26,33,39|0
50|93|1,32,35,38,41|1
51|94|2,5,8,11,14|1
52|95|2,5,8,11,42|1
53|96|2,5,8,39,42|1
54|97|2,5,36,39,42|1
55|98|2,7,13,20,26|0
56|99|2,7,13,26,32|0
57|100|2,7,20,26,39|0
58|101|2,7,26,32,39|0
59|102|2,8,13,26,32|0
60|103|2,8,13,32,38|0
61|104|2,8,15,21,26|0
62|105|2,8,15,21,40|0
63|106|2,8,21,26,32|0
64|107|2,8,21,27,32|0
65|108|2,8,21,27,40|0
66|109|2,8,27,32,38|0
67|110|2,9,15,20,39|0
68|111|2,9,15,34,39|0
69|112|2,15,20,26,39|0
70|113|2,15,21,26,39|0
71|114|2,15,21,34,39|0
72|115|2,15,21,34,40|0
73|116|2,21,26,32,39|0
74|117|2,21,27,34,40|0
75|118|2,33,36,39,42|1
76|119|3,6,9,12,15|1
77|120|3,8,14,21,27|0
78|121|3,8,14,27,33|0
79|122|3,8,21,27,40|0
80|123|3,8,27,33,40|0
81|124|3,9,14,27,33|0
82|125|3,9,14,33,39|0
83|126|3,9,16,22,27|0
84|127|3,9,16,22,41|0
85|128|3,9,22,27,33|0
86|129|3,9,22,28,33|0
87|130|3,9,22,28,41|0
88|131|3,9,28,33,39|0
89|132|3,10,16,21,40|0
90|133|3,10,16,35,40|0
91|134|3,16,21,27,40|0
92|135|3,16,22,27,40|0
93|136|3,16,22,35,40|0
94|137|3,16,22,35,41|0
95|138|3,22,27,33,40|0
96|139|3,22,28,35,41|0
97|140|4,7,10,13,16|1
98|141|4,9,15,22,28|0
99|142|4,9,15,28,34|0
100|143|4,9,22,28,41|0
101|144|4,9,28,34,41|0
102|145|4,10,15,28,34|0
103|146|4,10,15,34,40|0
104|147|4,10,17,23,28|0
105|148|4,10,17,23,42|0
106|149|4,10,23,28,34|0
107|150|4,10,23,29,34|0
108|151|4,10,23,29,42|0
109|152|4,10,29,34,40|0
110|153|4,11,17,22,41|0
111|154|4,11,17,36,41|0
112|155|4,17,22,28,41|0
113|156|4,17,23,28,41|0
114|157|4,17,23,36,41|0
115|158|4,17,23,36,42|0
116|159|4,23,28,34,41|0
117|160|4,23,29,36,42|0
118|161|5,8,11,14,17|1
119|162|5,10,16,23,29|0
120|163|5,10,16,29,35|0
121|164|5,10,23,29,42|0
122|165|5,10,29,35,42|0
123|166|5,11,16,29,35|0
124|167|5,11,16,35,41|0
125|168|5,11,18,24,29|0
126|169|5,11,24,29,35|0
127|170|5,11,24,30,35|0
128|171|5,11,30,35,41|0
129|172|5,12,18,23,42|0
130|173|5,12,18,37,42|0
131|174|5,18,23,29,42|0
132|175|5,18,24,29,42|0
133|176|5,18,24,37,42|0
134|177|5,24,29,35,42|0
135|178|6,9,12,15,18|1
136|179|6,11,17,24,30|0
137|180|6,11,17,30,36|0
138|181|6,12,17,30,36|0
139|182|6,12,17,36,42|0
140|183|6,12,19,25,30|0
141|184|6,12,25,30,36|0
142|185|6,12,25,31,36|0
143|186|6,12,31,36,42|0
144|187|7,10,13,16,19|1
145|188|7,12,18,25,31|0
146|189|7,12,18,31,37|0
147|190|7,13,18,31,37|0
148|191|7,13,20,26,31|0
149|192|7,13,26,31,37|0
150|193|7,13,26,32,37|0
151|194|8,11,14,17,20|1
152|195|8,13,19,26,32|0
153|196|8,13,19,32,38|0
154|197|8,14,19,32,38|0
155|198|8,14,21,27,32|0
156|199|8,14,27,32,38|0
157|200|8,14,27,33,38|0
158|201|9,12,15,18,21|1
159|202|9,14,20,27,33|0
160|203|9,14,20,33,39|0
161|204|9,15,20,33,39|0
162|205|9,15,22,28,33|0
163|206|9,15,28,33,39|0
164|207|9,15,28,34,39|0
165|208|10,13,16,19,22|1
166|209|10,15,21,28,34|0
167|210|10,15,21,34,40|0
168|211|10,16,21,34,40|0
169|212|10,16,23,29,34|0
170|213|10,16,29,34,40|0
171|214|10,16,29,35,40|0
172|215|11,14,17,20,23|1
173|216|11,16,22,29,35|0
174|217|11,16,22,35,41|0
175|218|11,17,22,35,41|0
176|219|11,17,24,30,35|0
177|220|11,17,30,35,41|0
178|221|11,17,30,36,41|0
179|222|12,15,18,21,24|1
180|223|12,17,23,30,36|0
181|224|12,17,23,36,42|0
182|225|12,18,23,36,42|0
183|226|12,18,25,31,36|0
184|227|12,18,31,36,42|0
185|228|12,18,31,37,42|0
186|229|13,16,19,22,25|1
187|230|13,18,24,31,37|0
188|231|13,19,26,32,37|0
189|232|14,17,20,23,26|1
190|233|14,19,25,32,38|0
191|234|14,20,27,33,38|0
192|235|15,18,21,24,27|1
193|236|15,20,26,33,39|0
194|237|15,21,28,34,39|0
195|238|16,19,22,25,28|1
196|239|16,21,27,34,40|0
197|240|16,22,29,35,40|0
198|241|17,20,23,26,29|1
199|242|17,22,28,35,41|0
200|243|17,23,30,36,41|0
201|244|18,21,24,27,30|1
202|245|18,23,29,36,42|0
203|246|18,24,31,37,42|0
204|247|19,22,25,28,31|1
205|248|20,23,26,29,32|1
206|249|21,24,27,30,33|1
207|250|22,25,28,31,34|1
208|251|23,26,29,32,35|1
209|252|24,27,30,33,36|1
210|253|25,28,31,34,37|1
211|254|26,29,32,35,38|1
212|255|27,30,33,36,39|1
213|256|28,31,34,37,40|1
214|257|29,32,35,38,41|1
215|258|30,33,36,39,42|1
