rowpair-ledger-v1
G	000	O	19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22
T	000	O	19	19	0	6	8	26	12
T	000	O	19	19	0	7	9	24	12
T	000	O	19	19	0	8	10	22	2
T	000	O	19	19	0	10	12	18	6
T	000	O	19	19	0	11	13	16	8
T	000	O	19	19	1	7	11	24	16
T	000	O	19	19	1	8	12	22	12
T	000	O	19	19	1	9	13	20	8
T	000	O	19	19	1	10	14	18	6
T	000	O	19	19	1	11	15	16	4
T	000	O	19	19	1	12	16	14	4
T	000	O	19	20	0	7	8	25	38
T	000	O	19	20	0	8	9	23	23
T	000	O	19	20	0	9	10	21	8
T	000	O	19	20	0	10	11	19	5
T	000	O	19	20	0	11	12	17	8
T	000	O	19	20	0	12	13	15	6
T	000	O	19	20	1	7	10	25	6
T	000	O	19	20	1	8	11	23	25
T	000	O	19	20	1	9	12	21	15
T	000	O	19	20	1	10	13	19	3
T	000	O	19	20	1	11	14	17	12
T	000	O	19	20	1	12	15	15	1
T	000	O	19	21	0	8	8	24	22
T	000	O	19	21	0	9	9	22	19
T	000	O	19	21	0	10	10	20	16
T	000	O	19	21	0	11	11	18	6
T	000	O	19	21	0	12	12	16	13
T	000	O	19	21	0	13	13	14	2
T	000	O	19	21	1	7	9	26	4
T	000	O	19	21	1	8	10	24	18
T	000	O	19	21	1	9	11	22	22
T	000	O	19	21	1	10	12	20	9
T	000	O	19	21	1	11	13	18	8
T	000	O	19	21	1	12	14	16	1
T	000	O	19	22	0	9	8	23	4
T	000	O	19	22	0	10	9	21	2
T	000	O	19	22	0	11	10	19	5
T	000	O	19	22	0	12	11	17	1
T	000	O	19	22	0	13	12	15	2
T	000	O	19	22	1	8	9	25	1
T	000	O	19	22	1	9	10	23	5
T	000	O	19	22	1	10	11	21	8
T	000	O	19	22	1	11	12	19	2
T	000	O	20	19	0	7	8	25	38
T	000	O	20	19	0	8	9	23	23
