0,1,2,10,35|1|-79|0-1=1,0-2=1,0-10=1,0-35=1,1-2=1,1-10=1,1-35=1,2-10=1,2-35=1
0,1,3,9,34|1|-78,-4|0-1=1,0-3=1,0-9=1,0-34=1,1-3=1,1-9=1,1-34=1,3-34=1
0,1,9,10,18|1|-44|0-1=1,0-9=1,0-10=1,1-9=1,1-10=1,1-18=1,9-10=1,9-18=1,10-18=1
0,1,9,10,35|1|-79|0-1=1,0-9=1,0-10=1,0-35=1,1-9=1,1-10=1,1-35=1,9-10=1,9-35=1
0,1,9,18,26|1|-70,-44|0-1=1,0-9=1,0-26=1,1-9=1,1-18=1,9-18=1,9-26=1,18-26=1
0,1,9,18,35|1|-44|0-1=1,0-9=1,0-35=1,1-9=1,1-18=1,1-35=1,9-18=1,9-35=1,18-35=1
0,1,9,26,34|1|-78,-70|0-1=1,0-9=1,0-26=1,0-34=1,1-9=1,1-34=1,9-26=1,26-34=1
0,1,9,26,35|1|-70|0-1=1,0-9=1,0-26=1,0-35=1,1-9=1,1-35=1,9-26=1,9-35=1,26-35=1
0,1,9,34,35|1|-78|0-1=1,0-9=1,0-34=1,0-35=1,1-9=1,1-34=1,1-35=1,9-35=1,34-35=1
0,1,9,34,42|1|-78|0-1=1,0-9=1,0-34=1,0-42=1,1-9=1,1-34=1,1-42=1,9-42=1,34-42=1
0,1,10,18,35|1|-79,-44|0-1=1,0-10=1,0-35=1,1-10=1,1-18=1,1-35=1,10-18=1,18-35=1
0,1,10,35,41|1|-79,-36|0-1=1,0-10=1,0-35=1,0-41=1,1-10=1,1-35=1,1-41=1,10-41=1
0,1,18,26,35|1|-70,-44|0-1=1,0-26=1,0-35=1,1-18=1,1-35=1,18-26=1,18-35=1,26-35=1
0,1,26,34,35|1|-70|0-1=1,0-26=1,0-34=1,0-35=1,1-34=1,1-35=1,26-34=1,26-35=1,34-35=1
0,2,3,12,37|1|-81,-38|0-2=1,0-3=1,0-12=1,2-3=1,2-12=1,2-37=1,3-12=1,3-37=1
0,2,8,33,42|1|-77,-3|0-2=1,0-8=1,0-33=1,0-42=1,2-33=1,2-42=1,8-42=1,33-42=1
0,3,6,9,12|1|-7,-4,-1|0-3=1,0-9=1,0-12=1,3-6=1,3-12=1,6-9=1,9-12=1
0,3,6,9,40|1|-41,-4,-1|0-3=1,0-9=1,0-40=1,3-6=1,6-9=1,6-40=1,9-40=1
