0,1,5,6,24|0|1,44,49|0-5=0,0-24=0,1-5=0,1-6=0,1-24=0,5-24=0,6-24=0
0,1,5,6,25|0|1,44,49|0-5=0,0-25=0,1-5=0,1-6=0,1-25=0,5-25=0,6-25=0
0,1,5,16,20|0|44|0-5=0,0-16=0,0-20=0,1-5=0,1-16=0,1-20=0,5-16=0,5-20=0,16-20=0
0,1,5,20,24|0|44|0-5=0,0-20=0,0-24=0,1-5=0,1-20=0,1-24=0,5-20=0,5-24=0,20-24=0
0,1,5,20,25|0|44|0-5=0,0-20=0,0-25=0,1-5=0,1-20=0,1-25=0,5-20=0,5-25=0,20-25=0
0,1,5,24,25|0|44,68|0-5=0,0-24=0,0-25=0,1-5=0,1-24=0,1-25=0,5-24=0,5-25=0
0,1,5,24,28|0|44|0-5=0,0-24=0,0-28=0,1-5=0,1-24=0,1-28=0,5-24=0,5-28=0,24-28=0
0,1,5,24,37|0|38,44|0-5=0,0-24=0,1-5=0,1-24=0,1-37=0,5-24=0,5-37=0,24-37=0
0,1,6,7,25|0|1,2,44,50|0-7=0,0-25=0,1-6=0,1-25=0,6-25=0,7-25=0
0,1,6,19,24|0|1,44|0-19=0,0-24=0,1-6=0,1-19=0,1-24=0,6-19=0,6-24=0,19-24=0
0,1,6,19,25|0|1,20,44|0-19=0,0-25=0,1-6=0,1-19=0,1-25=0,6-19=0,6-25=0
0,1,6,19,38|0|1,39,44|0-19=0,0-38=0,1-6=0,1-19=0,6-19=0,6-38=0,19-38=0
0,1,6,24,25|0|1,44,68|0-24=0,0-25=0,1-6=0,1-24=0,1-25=0,6-24=0,6-25=0
0,1,6,25,38|0|1,39,44|0-25=0,0-38=0,1-6=0,1-25=0,6-25=0,6-38=0,25-38=0
0,1,7,20,25|0|2,44|0-7=0,0-20=0,0-25=0,1-20=0,1-25=0,7-20=0,7-25=0,20-25=0
0,1,7,20,39|0|2,44|0-7=0,0-20=0,0-39=0,1-20=0,1-39=0,7-20=0,7-39=0,20-39=0
0,1,16,20,39|0|44|0-16=0,0-20=0,0-39=0,1-16=0,1-20=0,1-39=0,16-20=0,16-39=0,20-39=0
0,1,19,20,24|0|44,63|0-19=0,0-20=0,0-24=0,1-19=0,1-20=0,1-24=0,19-24=0,20-24=0
0,1,19,20,25|0|20,44,63|0-19=0,0-20=0,0-25=0,1-19=0,1-20=0,1-25=0,20-25=0
0,1,19,20,38|0|39,44,63|0-19=0,0-20=0,0-38=0,1-19=0,1-20=0,19-38=0,20-38=0
0,1,19,20,39|0|44,63|0-19=0,0-20=0,0-39=0,1-19=0,1-20=0,1-39=0,19-39=0,20-39=0
0,1,19,24,25|0|20,44,68|0-19=0,0-24=0,0-25=0,1-19=0,1-24=0,1-25=0,19-24=0
0,1,19,24,37|0|38,44|0-19=0,0-24=0,1-19=0,1-24=0,1-37=0,19-24=0,19-37=0,24-37=0
0,1,19,24,39|0|44|0-19=0,0-24=0,0-39=0,1-19=0,1-24=0,1-39=0,19-24=0,19-39=0,24-39=0
0,1,19,25,38|0|20,39,44|0-19=0,0-25=0,0-38=0,1-19=0,1-25=0,19-38=0,25-38=0
