0,3,6,9,12|1|-7,-4,-1|0-3=1,0-9=1,0-12=1,3-6=1,3-12=1,6-9=1,9-12=1
0,3,6,9,40|1|-41,-4,-1|0-3=1,0-9=1,0-40=1,3-6=1,6-9=1,6-40=1,9-40=1
0,3,6,37,40|1|-41,-38,-1|0-3=1,0-40=1,3-6=1,3-37=1,6-37=1,6-40=1,37-40=1
0,3,34,37,40|1|-41,-38,-35|0-3=1,0-34=1,0-40=1,3-34=1,3-37=1,34-37=1,37-40=1
0,4,8,15,19|0|44|0-4=0,0-15=0,0-19=0,4-8=0,4-15=0,4-19=0,8-15=0,8-19=0,15-19=0
0,4,8,15,23|0|44,59|0-4=0,0-15=0,0-23=0,4-8=0,4-15=0,4-23=0,8-15=0,8-23=0
0,4,8,15,28|0|44|0-4=0,0-15=0,0-28=0,4-8=0,4-15=0,4-28=0,8-15=0,8-28=0,15-28=0
0,4,8,19,23|0|44|0-4=0,0-19=0,0-23=0,4-8=0,4-19=0,4-23=0,8-19=0,8-23=0,19-23=0
0,4,8,19,24|0|44|0-4=0,0-19=0,0-24=0,4-8=0,4-19=0,4-24=0,8-19=0,8-24=0,19-24=0
0,4,8,19,27|0|44,63|0-4=0,0-19=0,0-27=0,4-8=0,4-19=0,4-27=0,8-19=0,8-27=0
0,4,8,19,32|0|44|0-4=0,0-19=0,0-32=0,4-8=0,4-19=0,4-32=0,8-19=0,8-32=0,19-32=0
0,4,8,23,27|0|44|0-4=0,0-23=0,0-27=0,4-8=0,4-23=0,4-27=0,8-23=0,8-27=0,23-27=0
0,4,8,23,28|0|44|0-4=0,0-23=0,0-28=0,4-8=0,4-23=0,4-28=0,8-23=0,8-28=0,23-28=0
0,4,8,23,36|0|44|0-4=0,0-23=0,0-36=0,4-8=0,4-23=0,4-36=0,8-23=0,8-36=0,23-36=0
0,4,8,24,28|0|44|0-4=0,0-24=0,0-28=0,4-8=0,4-24=0,4-28=0,8-24=0,8-28=0,24-28=0
0,4,8,24,32|0|44,68|0-4=0,0-24=0,0-32=0,4-8=0,4-24=0,4-32=0,8-24=0,8-32=0
0,4,8,27,32|0|44|0-4=0,0-27=0,0-32=0,4-8=0,4-27=0,4-32=0,8-27=0,8-32=0,27-32=0
0,4,8,28,32|0|44|0-4=0,0-28=0,0-32=0,4-8=0,4-28=0,4-32=0,8-28=0,8-32=0,28-32=0
0,4,8,28,36|0|44,72|0-4=0,0-28=0,0-36=0,4-8=0,4-28=0,4-36=0,8-28=0,8-36=0
0,4,8,32,36|0|44|0-4=0,0-32=0,0-36=0,4-8=0,4-32=0,4-36=0,8-32=0,8-36=0,32-36=0
0,4,11,15,19|0|55|0-4=0,0-11=0,0-15=0,0-19=0,4-11=0,4-15=0,4-19=0,11-15=0,15-19=0
0,4,11,15,39|0|83|0-4=0,0-11=0,0-15=0,0-39=0,4-11=0,4-15=0,11-15=0,11-39=0,15-39=0
0,4,11,19,24|0|55|0-4=0,0-11=0,0-19=0,0-24=0,4-11=0,4-19=0,4-24=0,11-24=0,19-24=0
0,4,11,19,27|0|55,63|0-4=0,0-11=0,0-19=0,0-27=0,4-11=0,4-19=0,4-27=0,11-27=0
0,4,11,19,39|0|55,83|0-4=0,0-11=0,0-19=0,0-39=0,4-11=0,4-19=0,11-39=0,19-39=0
0,4,11,24,39|0|83|0-4=0,0-11=0,0-24=0,0-39=0,4-11=0,4-24=0,11-24=0,11-39=0,24-39=0
0,4,15,19,23|0|59|0-4=0,0-15=0,0-19=0,0-23=0,4-15=0,4-19=0,4-23=0,15-19=0,19-23=0
0,4,15,19,39|0|83|0-4=0,0-15=0,0-19=0,0-39=0,4-15=0,4-19=0,15-19=0,15-39=0,19-39=0
0,4,15,20,28|0|64|0-4=0,0-15=0,0-20=0,0-28=0,4-15=0,4-20=0,4-28=0,15-20=0,15-28=0
0,4,15,20,39|0|83|0-4=0,0-15=0,0-20=0,0-39=0,4-15=0,4-20=0,15-20=0,15-39=0,20-39=0
0,4,15,23,28|0|59|0-4=0,0-15=0,0-23=0,0-28=0,4-15=0,4-23=0,4-28=0,15-28=0,23-28=0
0,4,15,23,39|0|59,83|0-4=0,0-15=0,0-23=0,0-39=0,4-15=0,4-23=0,15-39=0,23-39=0
0,4,15,28,39|0|83|0-4=0,0-15=0,0-28=0,0-39=0,4-15=0,4-28=0,15-28=0,15-39=0,28-39=0
0,4,19,23,27|0|63|0-4=0,0-19=0,0-23=0,0-27=0,4-19=0,4-23=0,4-27=0,19-23=0,23-27=0
0,4,19,23,39|0|83|0-4=0,0-19=0,0-23=0,0-39=0,4-19=0,4-23=0,19-23=0,19-39=0,23-39=0
0,4,19,24,32|0|68|0-4=0,0-19=0,0-24=0,0-32=0,4-19=0,4-24=0,4-32=0,19-24=0,19-32=0
0,4,19,24,39|0|83|0-4=0,0-19=0,0-24=0,0-39=0,4-19=0,4-24=0,19-24=0,19-39=0,24-39=0
0,4,19,27,32|0|63|0-4=0,0-19=0,0-27=0,0-32=0,4-19=0,4-27=0,4-32=0,19-32=0,27-32=0
0,4,19,32,39|0|83|0-4=0,0-19=0,0-32=0,0-39=0,4-19=0,4-32=0,19-32=0,19-39=0,32-39=0
0,4,20,24,28|0|64|0-4=0,0-20=0,0-24=0,0-28=0,4-20=0,4-24=0,4-28=0,20-24=0,24-28=0
0,4,20,24,39|0|83|0-4=0,0-20=0,0-24=0,0-39=0,4-20=0,4-24=0,20-24=0,20-39=0,24-39=0
0,4,20,28,36|0|64,72|0-4=0,0-20=0,0-28=0,0-36=0,4-20=0,4-28=0,4-36=0,20-36=0
0,4,20,28,39|0|64,83|0-4=0,0-20=0,0-28=0,0-39=0,4-20=0,4-28=0,20-39=0,28-39=0
0,4,23,28,36|0|72|0-4=0,0-23=0,0-28=0,0-36=0,4-23=0,4-28=0,4-36=0,23-28=0,23-36=0
0,4,23,28,39|0|83|0-4=0,0-23=0,0-28=0,0-39=0,4-23=0,4-28=0,23-28=0,23-39=0,28-39=0
0,4,24,28,32|0|68|0-4=0,0-24=0,0-28=0,0-32=0,4-24=0,4-28=0,4-32=0,24-28=0,28-32=0
0,4,24,28,39|0|83|0-4=0,0-24=0,0-28=0,0-39=0,4-24=0,4-28=0,24-28=0,24-39=0,28-39=0
0,4,24,32,39|0|68,83|0-4=0,0-24=0,0-32=0,0-39=0,4-24=0,4-32=0,24-39=0,32-39=0
0,4,28,32,36|0|72|0-4=0,0-28=0,0-32=0,0-36=0,4-28=0,4-32=0,4-36=0,28-32=0,32-36=0
0,4,28,32,39|0|83|0-4=0,0-28=0,0-32=0,0-39=0,4-28=0,4-32=0,28-32=0,28-39=0,32-39=0
0,5,11,16,24|0|6,60|0-5=0,0-11=0,0-16=0,0-24=0,5-16=0,5-24=0,11-16=0,11-24=0
0,5,11,16,35|0|6,79|0-5=0,0-11=0,0-16=0,5-16=0,5-35=0,11-16=0,11-35=0,16-35=0
