0,3,6,9,12|1|-7,-4,-1|0-3=1,0-9=1,0-12=1,3-6=1,3-12=1,6-9=1,9-12=1
0,3,6,9,40|1|-41,-4,-1|0-3=1,0-9=1,0-40=1,3-6=1,6-9=1,6-40=1,9-40=1
0,3,6,37,40|1|-41,-38,-1|0-3=1,0-40=1,3-6=1,3-37=1,6-37=1,6-40=1,37-40=1
0,3,34,37,40|1|-41,-38,-35|0-3=1,0-34=1,0-40=1,3-34=1,3-37=1,34-37=1,37-40=1
0,4,11,15,29|0|59,73|0-4=0,0-11=0,0-15=0,4-11=0,4-15=0,4-29=0,11-15=0,11-29=0
0,4,11,18,24|0|19,48|0-4=0,0-11=0,0-18=0,0-24=0,4-11=0,4-24=0,11-18=0,11-24=0
0,4,11,18,29|0|48,73|0-4=0,0-11=0,0-18=0,4-11=0,4-29=0,11-18=0,11-29=0,18-29=0
0,4,11,18,36|0|48|0-4=0,0-11=0,0-18=0,0-36=0,4-11=0,4-36=0,11-18=0,11-36=0,18-36=0
0,4,11,24,29|0|73|0-4=0,0-11=0,0-24=0,4-11=0,4-24=0,4-29=0,11-24=0,11-29=0,24-29=0
0,4,11,29,36|0|73|0-4=0,0-11=0,0-36=0,4-11=0,4-29=0,4-36=0,11-29=0,11-36=0,29-36=0
0,4,18,23,29|0|24,48,73|0-4=0,0-18=0,0-23=0,4-23=0,4-29=0,18-23=0,18-29=0
0,4,18,23,36|0|48|0-4=0,0-18=0,0-23=0,0-36=0,4-23=0,4-36=0,18-23=0,18-36=0,23-36=0
0,4,18,24,29|0|19,48,73|0-4=0,0-18=0,0-24=0,4-24=0,4-29=0,18-29=0,24-29=0
0,4,18,29,36|0|48,73|0-4=0,0-18=0,0-36=0,4-29=0,4-36=0,18-29=0,18-36=0,29-36=0
0,4,18,32,36|0|48,62|0-4=0,0-18=0,0-32=0,0-36=0,4-32=0,4-36=0,18-36=0,32-36=0
0,4,23,29,36|0|24,73|0-4=0,0-23=0,0-36=0,4-23=0,4-29=0,4-36=0,23-36=0,29-36=0
0,5,11,16,29|0|6,73|0-5=0,0-11=0,0-16=0,5-16=0,5-29=0,11-16=0,11-29=0,16-29=0
0,5,11,16,30|0|6,60|0-5=0,0-11=0,0-16=0,0-30=0,5-16=0,5-30=0,11-16=0,11-30=0
0,5,11,18,24|0|6,19|0-5=0,0-11=0,0-18=0,0-24=0,5-18=0,5-24=0,11-18=0,11-24=0
0,5,11,18,25|0|6,55|0-5=0,0-11=0,0-18=0,0-25=0,5-18=0,5-25=0,11-18=0,18-25=0
0,5,11,18,29|0|6,73|0-5=0,0-11=0,0-18=0,5-18=0,5-29=0,11-18=0,11-29=0,18-29=0
0,5,11,24,29|0|6,73|0-5=0,0-11=0,0-24=0,5-24=0,5-29=0,11-24=0,11-29=0,24-29=0
0,5,11,24,30|0|6,25|0-5=0,0-11=0,0-24=0,0-30=0,5-24=0,5-30=0,11-24=0,11-30=0
0,5,11,25,29|0|6,55,73|0-5=0,0-11=0,0-25=0,5-25=0,5-29=0,11-29=0,25-29=0
0,5,11,25,30|0|6,55|0-5=0,0-11=0,0-25=0,0-30=0,5-25=0,5-30=0,11-30=0,25-30=0
0,5,16,23,29|0|24,73|0-5=0,0-16=0,0-23=0,5-16=0,5-23=0,5-29=0,16-23=0,16-29=0
0,5,16,23,30|0|60|0-5=0,0-16=0,0-23=0,0-30=0,5-16=0,5-23=0,5-30=0,16-23=0,23-30=0
0,5,18,23,29|0|24,73|0-5=0,0-18=0,0-23=0,5-18=0,5-23=0,5-29=0,18-23=0,18-29=0
0,5,18,23,37|0|38,67|0-5=0,0-18=0,0-23=0,5-18=0,5-23=0,5-37=0,18-23=0,18-37=0
0,5,18,24,29|0|19,73|0-5=0,0-18=0,0-24=0,5-18=0,5-24=0,5-29=0,18-29=0,24-29=0
0,5,18,24,37|0|19,38|0-5=0,0-18=0,0-24=0,5-18=0,5-24=0,5-37=0,18-37=0,24-37=0
0,5,18,25,29|0|73|0-5=0,0-18=0,0-25=0,5-18=0,5-25=0,5-29=0,18-25=0,18-29=0,25-29=0
0,5,18,25,32|0|62|0-5=0,0-18=0,0-25=0,0-32=0,5-18=0,5-25=0,5-32=0,18-25=0,25-32=0
0,5,18,32,37|0|38,62|0-5=0,0-18=0,0-32=0,5-18=0,5-32=0,5-37=0,18-37=0,32-37=0
0,5,19,23,30|0|49|0-5=0,0-19=0,0-23=0,0-30=0,5-23=0,5-30=0,19-23=0,19-30=0,23-30=0
0,5,19,23,37|0|38,49,67|0-5=0,0-19=0,0-23=0,5-23=0,5-37=0,19-23=0,19-37=0
0,5,19,24,30|0|25,49|0-5=0,0-19=0,0-24=0,0-30=0,5-24=0,5-30=0,19-24=0,19-30=0
0,5,19,24,37|0|38,49|0-5=0,0-19=0,0-24=0,5-24=0,5-37=0,19-24=0,19-37=0,24-37=0
0,5,19,25,30|0|20,49|0-5=0,0-19=0,0-25=0,0-30=0,5-25=0,5-30=0,19-30=0,25-30=0
0,5,19,25,32|0|20,49|0-5=0,0-19=0,0-25=0,0-32=0,5-25=0,5-32=0,19-32=0,25-32=0
0,5,19,30,37|0|38,49|0-5=0,0-19=0,0-30=0,5-30=0,5-37=0,19-30=0,19-37=0,30-37=0
0,5,19,32,37|0|38,49|0-5=0,0-19=0,0-32=0,5-32=0,5-37=0,19-32=0,19-37=0,32-37=0
0,5,23,30,37|0|38,67|0-5=0,0-23=0,0-30=0,5-23=0,5-30=0,5-37=0,23-30=0,30-37=0
0,5,24,30,37|0|25,38|0-5=0,0-24=0,0-30=0,5-24=0,5-30=0,5-37=0,24-37=0,30-37=0
0,6,11,24,29|0|1,73|0-11=0,0-24=0,6-11=0,6-24=0,6-29=0,11-24=0,11-29=0,24-29=0
0,6,11,24,30|0|1,25|0-11=0,0-24=0,0-30=0,6-11=0,6-24=0,6-30=0,11-24=0,11-30=0
0,6,11,24,38|0|1,68|0-11=0,0-24=0,0-38=0,6-11=0,6-24=0,6-38=0,11-24=0,11-38=0
0,6,11,25,29|0|1,55,73|0-11=0,0-25=0,6-11=0,6-25=0,6-29=0,11-29=0,25-29=0
0,6,11,25,30|0|1,55|0-11=0,0-25=0,0-30=0,6-11=0,6-25=0,6-30=0,11-30=0,25-30=0
0,6,11,25,36|0|1,55|0-11=0,0-25=0,0-36=0,6-11=0,6-25=0,6-36=0,11-36=0,25-36=0
0,6,11,25,38|0|1,55|0-11=0,0-25=0,0-38=0,6-11=0,6-25=0,6-38=0,11-38=0,25-38=0
0,6,11,29,36|0|1,73|0-11=0,0-36=0,6-11=0,6-29=0,6-36=0,11-29=0,11-36=0,29-36=0
0,6,11,30,36|0|1,31|0-11=0,0-30=0,0-36=0,6-11=0,6-30=0,6-36=0,11-30=0,11-36=0
0,6,13,19,24|0|1,14|0-13=0,0-19=0,0-24=0,6-13=0,6-19=0,6-24=0,13-24=0,19-24=0
