1	0	1
2	0	2
3	1	2
4	0	3
5	1	3
6	2	3
7	0	4
8	1	4
9	2	4
10	3	4
11	0	5
12	1	5
13	2	5
14	3	5
15	4	5
16	0	6
17	1	6
18	2	6
19	3	6
20	4	6
21	5	6
22	0	7
23	1	7
24	2	7
25	3	7
26	4	7
27	5	7
28	6	7
29	0	8
30	1	8
31	2	8
32	3	8
33	4	8
34	5	8
35	6	8
36	7	8
37	0	9
38	1	9
39	2	9
40	3	9
41	4	9
42	5	9
43	6	9
44	7	9
45	8	9
46	0	10
47	1	10
48	2	10
49	3	10
50	4	10
51	5	10
52	6	10
53	7	10
54	8	10
55	9	10
56	0	11
57	1	11
58	2	11
59	3	11
60	4	11
61	5	11
62	6	11
63	7	11
64	8	11
65	9	11
66	10	11
67	0	12
68	1	12
69	2	12
70	3	12
71	4	12
72	5	12
73	6	12
74	7	12
75	8	12
76	9	12
77	10	12
78	11	12
79	0	13
80	1	13
81	2	13
82	3	13
83	4	13
84	5	13
85	6	13
86	7	13
87	8	13
88	9	13
89	10	13
90	11	13
91	12	13
92	0	14
93	1	14
94	2	14
95	3	14
96	4	14
97	5	14
98	6	14
99	7	14
100	8	14
101	9	14
102	10	14
103	11	14
104	12	14
105	13	14
106	0	15
107	1	15
108	2	15
109	3	15
110	4	15
111	5	15
112	6	15
113	7	15
114	8	15
115	9	15
116	10	15
117	11	15
118	12	15
119	13	15
120	14	15
121	0	16
122	1	16
123	2	16
124	3	16
125	4	16
126	5	16
127	6	16
128	7	16
129	8	16
130	9	16
131	10	16
132	11	16
133	12	16
134	13	16
135	14	16
136	15	16
137	0	17
138	1	17
139	2	17
140	3	17
141	4	17
142	5	17
143	6	17
144	7	17
145	8	17
146	9	17
147	10	17
148	11	17
149	12	17
150	13	17
151	14	17
152	15	17
153	16	17
154	0	18
155	1	18
156	2	18
157	3	18
158	4	18
159	5	18
160	6	18
161	7	18
162	8	18
163	9	18
164	10	18
165	11	18
166	12	18
167	13	18
168	14	18
169	15	18
170	16	18
171	17	18
172	0	19
173	1	19
174	2	19
175	3	19
176	4	19
177	5	19
178	6	19
179	7	19
180	8	19
181	9	19
182	10	19
183	11	19
184	12	19
185	13	19
186	14	19
187	15	19
188	16	19
189	17	19
190	18	19
191	0	20
192	1	20
193	2	20
194	3	20
195	4	20
196	5	20
197	6	20
198	7	20
199	8	20
200	9	20
201	10	20
202	11	20
203	12	20
204	13	20
205	14	20
206	15	20
207	16	20
208	17	20
209	18	20
210	19	20
211	0	21
212	1	21
213	2	21
214	3	21
215	4	21
216	5	21
217	6	21
218	7	21
219	8	21
220	9	21
221	10	21
222	11	21
223	12	21
224	13	21
225	14	21
226	15	21
227	16	21
228	17	21
229	18	21
230	19	21
231	20	21
232	0	22
233	1	22
234	2	22
235	3	22
236	4	22
237	5	22
238	6	22
239	7	22
240	8	22
241	9	22
242	10	22
243	11	22
244	12	22
245	13	22
246	14	22
247	15	22
248	16	22
249	17	22
250	18	22
251	19	22
252	20	22
253	21	22
254	0	23
255	1	23
256	2	23
257	3	23
258	4	23
259	5	23
260	6	23
261	7	23
262	8	23
263	9	23
264	10	23
265	11	23
266	12	23
267	13	23
268	14	23
269	15	23
270	16	23
271	17	23
272	18	23
273	19	23
274	20	23
275	21	23
276	22	23
277	0	24
278	1	24
279	2	24
280	3	24
281	4	24
282	5	24
283	6	24
284	7	24
285	8	24
286	9	24
287	10	24
288	11	24
289	12	24
290	13	24
291	14	24
292	15	24
293	16	24
294	17	24
295	18	24
296	19	24
297	20	24
298	21	24
299	22	24
300	23	24
301	0	25
302	1	25
303	2	25
304	3	25
305	4	25
306	5	25
307	6	25
308	7	25
309	8	25
310	9	25
311	10	25
312	11	25
313	12	25
314	13	25
315	14	25
316	15	25
317	16	25
318	17	25
319	18	25
320	19	25
321	20	25
322	21	25
323	22	25
324	23	25
325	24	25
326	0	26
327	1	26
328	2	26
329	3	26
330	4	26
331	5	26
332	6	26
333	7	26
334	8	26
335	9	26
336	10	26
337	11	26
338	12	26
339	13	26
340	14	26
341	15	26
342	16	26
343	17	26
344	18	26
345	19	26
346	20	26
347	21	26
348	22	26
349	23	26
350	24	26
351	25	26
352	0	27
353	1	27
354	2	27
355	3	27
356	4	27
357	5	27
358	6	27
359	7	27
360	8	27
361	9	27
362	10	27
363	11	27
364	12	27
365	13	27
366	14	27
367	15	27
368	16	27
369	17	27
370	18	27
371	19	27
372	20	27
373	21	27
374	22	27
375	23	27
376	24	27
377	25	27
378	26	27
379	0	28
380	1	28
381	2	28
382	3	28
383	4	28
384	5	28
385	6	28
386	7	28
387	8	28
388	9	28
389	10	28
390	11	28
391	12	28
392	13	28
393	14	28
394	15	28
395	16	28
396	17	28
397	18	28
398	19	28
399	20	28
400	21	28
401	22	28
402	23	28
403	24	28
404	25	28
405	26	28
406	27	28
407	0	29
408	1	29
409	2	29
410	3	29
411	4	29
412	5	29
413	6	29
414	7	29
415	8	29
416	9	29
417	10	29
418	11	29
419	12	29
420	13	29
421	14	29
422	15	29
423	16	29
424	17	29
425	18	29
426	19	29
427	20	29
428	21	29
429	22	29
430	23	29
431	24	29
432	25	29
433	26	29
434	27	29
435	28	29
436	0	30
437	1	30
438	2	30
439	3	30
440	4	30
441	5	30
442	6	30
443	7	30
444	8	30
445	9	30
446	10	30
447	11	30
448	12	30
449	13	30
450	14	30
451	15	30
452	16	30
453	17	30
454	18	30
455	19	30
456	20	30
457	21	30
458	22	30
459	23	30
460	24	30
461	25	30
462	26	30
463	27	30
464	28	30
465	29	30
466	0	31
467	1	31
468	2	31
469	3	31
470	4	31
471	5	31
472	6	31
473	7	31
474	8	31
475	9	31
476	10	31
477	11	31
478	12	31
479	13	31
480	14	31
481	15	31
482	16	31
483	17	31
484	18	31
485	19	31
486	20	31
487	21	31
488	22	31
489	23	31
490	24	31
491	25	31
492	26	31
493	27	31
494	28	31
495	29	31
496	30	31
497	0	32
498	1	32
499	2	32
500	3	32
501	4	32
502	5	32
503	6	32
504	7	32
505	8	32
506	9	32
507	10	32
508	11	32
509	12	32
510	13	32
511	14	32
512	15	32
513	16	32
514	17	32
515	18	32
516	19	32
517	20	32
518	21	32
519	22	32
520	23	32
521	24	32
522	25	32
523	26	32
524	27	32
525	28	32
526	29	32
527	30	32
528	31	32
529	0	33
530	1	33
531	2	33
532	3	33
533	4	33
534	5	33
535	6	33
536	7	33
537	8	33
538	9	33
539	10	33
540	11	33
541	12	33
542	13	33
543	14	33
544	15	33
545	16	33
546	17	33
547	18	33
548	19	33
549	20	33
550	21	33
551	22	33
552	23	33
553	24	33
554	25	33
555	26	33
556	27	33
557	28	33
558	29	33
559	30	33
560	31	33
561	32	33
562	0	34
563	1	34
564	2	34
565	3	34
566	4	34
567	5	34
568	6	34
569	7	34
570	8	34
571	9	34
572	10	34
573	11	34
574	12	34
575	13	34
576	14	34
577	15	34
578	16	34
579	17	34
580	18	34
581	19	34
582	20	34
583	21	34
584	22	34
585	23	34
586	24	34
587	25	34
588	26	34
589	27	34
590	28	34
591	29	34
592	30	34
593	31	34
594	32	34
595	33	34
596	0	35
597	1	35
598	2	35
599	3	35
600	4	35
601	5	35
602	6	35
603	7	35
604	8	35
605	9	35
606	10	35
607	11	35
608	12	35
609	13	35
610	14	35
611	15	35
612	16	35
613	17	35
614	18	35
615	19	35
616	20	35
617	21	35
618	22	35
619	23	35
620	24	35
621	25	35
622	26	35
623	27	35
624	28	35
625	29	35
626	30	35
627	31	35
628	32	35
629	33	35
630	34	35
631	0	36
632	1	36
633	2	36
634	3	36
635	4	36
636	5	36
637	6	36
638	7	36
639	8	36
640	9	36
641	10	36
642	11	36
643	12	36
644	13	36
645	14	36
646	15	36
647	16	36
648	17	36
649	18	36
650	19	36
651	20	36
652	21	36
653	22	36
654	23	36
655	24	36
656	25	36
657	26	36
658	27	36
659	28	36
660	29	36
661	30	36
662	31	36
663	32	36
664	33	36
665	34	36
666	35	36
667	0	37
668	1	37
669	2	37
670	3	37
671	4	37
672	5	37
673	6	37
674	7	37
675	8	37
676	9	37
677	10	37
678	11	37
679	12	37
680	13	37
681	14	37
682	15	37
683	16	37
684	17	37
685	18	37
686	19	37
687	20	37
688	21	37
689	22	37
690	23	37
691	24	37
692	25	37
693	26	37
694	27	37
695	28	37
696	29	37
697	30	37
698	31	37
699	32	37
700	33	37
701	34	37
702	35	37
703	36	37
704	0	38
705	1	38
706	2	38
707	3	38
708	4	38
709	5	38
710	6	38
711	7	38
712	8	38
713	9	38
714	10	38
715	11	38
716	12	38
717	13	38
718	14	38
719	15	38
720	16	38
721	17	38
722	18	38
723	19	38
724	20	38
725	21	38
726	22	38
727	23	38
728	24	38
729	25	38
730	26	38
731	27	38
732	28	38
733	29	38
734	30	38
735	31	38
736	32	38
737	33	38
738	34	38
739	35	38
740	36	38
741	37	38
