0,3,6,9,12|1|-47,-44,-7,-4,-1|0-3=1,0-12=1,3-6=1,6-9=1,9-12=1
0,3,6,9,40|1|-84,-44,-41,-4,-1|0-3=1,0-40=1,3-6=1,6-9=1,9-40=1
0,3,6,37,40|1|-84,-81,-41,-38,-1|0-3=1,0-40=1,3-6=1,6-37=1,37-40=1
0,3,34,37,40|1|-81,-78,-41,-38,-35|0-3=1,0-40=1,3-34=1,34-37=1,37-40=1
0,4,9,13,20|0|44,48|0-4=0,0-13=0,0-20=0,4-9=0,4-20=0,9-13=0,9-20=0,13-20=0
0,4,9,13,24|0|44,48|0-4=0,0-13=0,0-24=0,4-9=0,4-24=0,9-13=0,9-24=0,13-24=0
0,4,9,13,28|0|44,48|0-4=0,0-13=0,0-28=0,4-9=0,4-28=0,9-13=0,9-28=0,13-28=0
0,4,9,13,32|0|44,48|0-4=0,0-13=0,0-32=0,4-9=0,4-32=0,9-13=0,9-32=0,13-32=0
0,4,9,13,36|0|44,48|0-4=0,0-13=0,0-36=0,4-9=0,4-36=0,9-13=0,9-36=0,13-36=0
0,4,9,15,20|0|10,44|0-4=0,0-15=0,0-20=0,4-9=0,4-15=0,4-20=0,9-20=0,15-20=0
0,4,9,15,24|0|10,44,59|0-4=0,0-15=0,0-24=0,4-9=0,4-15=0,4-24=0,9-24=0
0,4,9,15,28|0|10,44|0-4=0,0-15=0,0-28=0,4-9=0,4-15=0,4-28=0,9-28=0,15-28=0
0,4,9,15,34|0|10,44,78|0-4=0,0-15=0,4-9=0,4-15=0,4-34=0,9-34=0,15-34=0
0,4,9,20,24|0|44|0-4=0,0-20=0,0-24=0,4-9=0,4-20=0,4-24=0,9-20=0,9-24=0,20-24=0
0,4,9,20,27|0|44|0-4=0,0-20=0,0-27=0,4-9=0,4-20=0,4-27=0,9-20=0,9-27=0,20-27=0
0,4,9,20,36|0|44|0-4=0,0-20=0,0-36=0,4-9=0,4-20=0,4-36=0,9-20=0,9-36=0,20-36=0
0,4,9,24,28|0|44|0-4=0,0-24=0,0-28=0,4-9=0,4-24=0,4-28=0,9-24=0,9-28=0,24-28=0
0,4,9,27,32|0|44|0-4=0,0-27=0,0-32=0,4-9=0,4-27=0,4-32=0,9-27=0,9-32=0,27-32=0
