0,1,2,3,11|1|-44|0-1=1,0-2=1,0-3=1,1-2=1,1-3=1,1-11=1,2-3=1,2-11=1,3-11=1
0,1,2,3,12|1|-45|0-1=1,0-2=1,0-3=1,0-12=1,1-2=1,1-3=1,2-3=1,2-12=1,3-12=1
0,1,2,3,34|1|-78|0-1=1,0-2=1,0-3=1,0-34=1,1-2=1,1-3=1,1-34=1,2-3=1,3-34=1
0,1,2,3,35|1|-79|0-1=1,0-2=1,0-3=1,0-35=1,1-2=1,1-3=1,1-35=1,2-3=1,2-35=1
0,1,2,10,11|1|-44|0-1=1,0-2=1,0-10=1,1-2=1,1-10=1,1-11=1,2-10=1,2-11=1,10-11=1
0,1,2,10,12|1|-45|0-1=1,0-2=1,0-10=1,0-12=1,1-2=1,1-10=1,2-10=1,2-12=1,10-12=1
0,1,2,10,42|1|-86|0-1=1,0-2=1,0-10=1,0-42=1,1-2=1,1-10=1,1-42=1,2-10=1,2-42=1
0,1,2,11,12|1|-45,-44|0-1=1,0-2=1,0-12=1,1-2=1,1-11=1,2-11=1,2-12=1,11-12=1
0,1,2,11,33|1|-77,-44|0-1=1,0-2=1,0-33=1,1-2=1,1-11=1,2-11=1,2-33=1,11-33=1
0,1,2,11,42|1|-44|0-1=1,0-2=1,0-42=1,1-2=1,1-11=1,1-42=1,2-11=1,2-42=1,11-42=1
0,1,2,12,33|1|-77,-45|0-1=1,0-2=1,0-12=1,0-33=1,1-2=1,2-12=1,2-33=1,12-33=1
0,1,2,12,34|1|-78,-45|0-1=1,0-2=1,0-12=1,0-34=1,1-2=1,1-34=1,2-12=1,12-34=1
0,1,2,33,34|1|-78,-77|0-1=1,0-2=1,0-33=1,0-34=1,1-2=1,1-34=1,2-33=1,33-34=1
0,1,2,33,35|1|-77|0-1=1,0-2=1,0-33=1,0-35=1,1-2=1,1-35=1,2-33=1,2-35=1,33-35=1
0,1,2,33,42|1|-77|0-1=1,0-2=1,0-33=1,0-42=1,1-2=1,1-42=1,2-33=1,2-42=1,33-42=1
0,1,2,34,35|1|-78|0-1=1,0-2=1,0-34=1,0-35=1,1-2=1,1-34=1,1-35=1,2-35=1,34-35=1
0,1,2,34,42|1|-78|0-1=1,0-2=1,0-34=1,0-42=1,1-2=1,1-34=1,1-42=1,2-42=1,34-42=1
0,1,3,9,11|1|-44,-4|0-1=1,0-3=1,0-9=1,1-3=1,1-9=1,1-11=1,3-11=1,9-11=1
0,1,3,9,12|1|-45,-4|0-1=1,0-3=1,0-9=1,0-12=1,1-3=1,1-9=1,3-12=1,9-12=1
0,1,3,9,35|1|-79,-4|0-1=1,0-3=1,0-9=1,0-35=1,1-3=1,1-9=1,1-35=1,9-35=1
0,1,3,11,12|1|-45,-44|0-1=1,0-3=1,0-12=1,1-3=1,1-11=1,3-11=1,3-12=1,11-12=1
0,1,3,11,32|1|-76,-44|0-1=1,0-3=1,1-3=1,1-11=1,1-32=1,3-11=1,3-32=1,11-32=1
0,1,3,12,34|1|-45|0-1=1,0-3=1,0-12=1,0-34=1,1-3=1,1-34=1,3-12=1,3-34=1,12-34=1
0,1,3,32,34|1|-76|0-1=1,0-3=1,0-34=1,1-3=1,1-32=1,1-34=1,3-32=1,3-34=1,32-34=1
0,1,3,32,35|1|-79,-76|0-1=1,0-3=1,0-35=1,1-3=1,1-32=1,1-35=1,3-32=1,32-35=1
